Category,,,Accuracy,Prediction Accuracy
meme,4,9,,25.00%
gif,0,6,,0.00%
animal,27,3,,7.41%
original,17,16,,35.29%
edited,1,8,,0.00%
media,1,7,,0.00%
monty_python,0,1,,0.00%
